,lblKitaname,Telefon,lblTelefon
670229,Kita Puchanstraße,030 29046763,3029046763
2407,Kita Pücklerstr. 12/Kigä City,030 22503061,3022503061
151129,Kita Pünktchen und Paul,030 75527372,3075527372
626,Kita Purzelbaum,030 5253546,030525 35 46
30,Kita Pusteblume,030 2792210,302792210
2047,Kita Pusteblume,030 52279488,5227 9488
551,Kita Pusteblume,030 6555401,306555401
1138,Kita Putte,030 4933088,304933088
2156,Kita Putzmunter,030 9328004,309328004
435179,Kita Quatschköpfe,030 50014589,3050014589
2158,Kita Rabennest,030 9309633,309309633
253179,Kita Raduga,030 86008472,3086008472
367129,Kita Raduga Pfalzburger Straße,030 86390360,3086390360
2765,Kita Rahnsdorfer Spatzen,030 6489211,306489211
595,Kita Ramlerstr. 9-10/Kigä City,030 43207225,3043207225
2195,Kita Randowstr. 41/43/Kigä NordOst,030 9283018,309283018
2274,Kita Rappelkiste,030 5612937,030561 29 37
1404,Kita Rappelkiste,030 6021260,306021260
247129,Kita Rappelkiste,030 80576487,3080576487
2062,Kita Rappelkiste,030 9253838,309253838
329129,Kita Rappelkiste MediSport,030 97995284,3097995284
243129,Kita Rasselbande,030 2118737,302118737
1465,Kita Rathauspromenade 73/Kitas Nordwest,030 41190978,3041190978
791,Kita Rathausstr. 84/Kitas Süd-West,030 290276130,30290276130
2302,Kita Rathenower Str. 15/Kigä City,030 74780168,3074780168
71,Kita Räuberbande/Kigä NordOst,030 4258424,304258424
2933,Kita Räuberhöhle,030 68913118,3068913118
229129,Kita Rauda,030 75545181,3075545181
2153,Kita Raupe Nimmersatt,030 5410501,030541 05 01
407129,Kita Ravelin,030 89392510,3089392510
788,Kita Reaumurstr. 3/Kitas Süd-West,030 290276580,30290276580
805,Kita Regenbogen,030 4493238,030449 32 38
518279,Kita Regenbogen,030 64821577,3064821577
1346,Kita Regenbogen,030 75777680,0307577 7680
1487,Kita Regenbogen,030 4306232,0304306232/704
2145,Kita Regenbogeninsel,030 9328119,309328119
2732,Kita Regenbogenland,030 76882711,0307688 2711
1665,Kita Regenbogenland/Ev.Kirchengem. Charlbg-Nord,030 3811978,030381 19 78
2138,Kita Reggio-Kinderhaus/Kigä NordOst,030 9327018,309327018
378,Kita Reichenberger Str. 40/Kigä City,030 23889682,3023889682
2408,Kita Reichenberger Str. 92/Kigä City,030 22503201,3022503201
2353,Kita Reinickendorfer Str. 98/Kigä City,030 52134200,3052134200
116179,Kita Remmi-Demmi,030 49803789,3049803789
138179,Kita Remmi-Demmi,030 76219289,3076219289
299179,Kita Remmi-Demmi Ella-Kay-Straße,030 60956934,3060956934
445129,Kita Remmi-Demmi im Bergschloss,030 53093439,3053093439
1216,Kita Remscheider Str. 39/Kitas Nordwest,030 3789080,303789080
2217,Kita Reriker Str. 20/Kigä NordOst,030 9294167,309294167
763,Kita Reuterstr.,030 62985210,3062985210
616,Kita Reuterstr. 72/Kitas SüdOst,030 609029940,03060902994-0
406,Kita Rheingaustraße des Pestalozzi-Fröbel-Hauses,030 8213007,030821 30 07
355,Kita Rheinsberger Str. 34/35,030 4493459,030449 34 59
1212,Kita Richard-Münch-Str. 1-3/Kitas Nordwest,030 3699850,303699850
705,"Kita Richard-Sorge-Str. 43 und 44
Haus Buddelflink und Gänseblümchen",030 42089332,03042089332/4261417
705,"Kita Richard-Sorge-Str. 43 und 44
Haus Buddelflink und Gänseblümchen",030 4261417,03042089332/4261417
1644,Kita Richard-Wagner-Str. 20/Kitas Nordwest,030 367023680,30367023680
440,Kita Richterstr. 2a/Kitas SüdOst,030 6729178,030672 91 78
1197,Kita Riemenschneiderweg,030 79404994,03079 40 49 94
694,Kita Riesestr. 2-4/Kitas SüdOst,030 609029950,0306090 2995-0
408279,Kita Rigaer Straße,030 95624806,3095624806
897,Kita Ringbahnstr. 47/Kitas Süd-West,030 290276150,30290276150
900,Kita Ritterfelddamm 27/Kitas Nordwest,030 20673590,3020673590
2827,Kita Rixdorfer Rüpel,030 6819879,030681 98 79
582,Kita Robinson Crusoe,030 7031044,030703 10 44
456,Kita Roelckespatzen,030 9252369,309252369
2828,Kita RoKoKids,030 34628728,3034628728
2006,Kita Römerweg 106 und 112/Kigä NordOst,030 5099792,030509 97 92
1670,KiTa Rominter Allee,030 3051035,030305 10 35
872,Kita Rosas Turm,030 7819911,0307819911/325123350
872,Kita Rosas Turm,030 325123350,0307819911/325123350
997,Kita Rosen,030 7885554,030788 55 54
2009,Kita Rosenfelder Ring 35/35A/Kigä NordOst,030 5251214,305251214
2259,Kita Rosengarten,030 5677770,305677770
785,Kita Rosenheimer Straße,030 21963230,030219 63 230
1466,Kita Rotbuchenweg,030 41708571,0304170 8571/3
1466,Kita Rotbuchenweg,030 41708573,0304170 8571/3
498229,Kita Rübchen,030 67961194,3067961194
266129,Kita Rubin,030 87337793,3087337793
522329,Kita Rudow,030 6614979,306614979
2739,Kita Rudower Straße,030 6735026,030673 50 26
2354,Kita Ruheplatzstr. 13/Kigä City,030 34620607,3034620607
559229,Kita Rummelburger Straße,0172 3082200,0172 3082200
630279,KITA Rummelsburger Bucht,030 55440740,3055440740
220129,Kita Rumpelbande,0176 37468882,49017637468882
2930,Kita Rüsselbande,030 7629320,307629320
267,Kita Ruthstr. 6/Kitas Süd-West,030 290276590,30290276590
1393,Kita Rütlistr. 7/Kitas SüdOst,030 609029930,03060902993-0
2461,Kita Safina,030 39480386,3039480386
654229,Kita Safina,030 3957629,303957629
231179,Kita Sahne-Teufel,030 50562237,3050562237
2939,Kita Salam-Frieden,030 6322659,306322659
641229,Kita Salam-Frieden 3,030 23181272,3023181272
939,Kita Sanierungsgebiet Klausener Platz,030 3213492,321 34 92
950,Kita Sanierungsgebiet Klausener Platz,030 3228102,030322 81 02
2758,Kita Sauseschritt,030 4765985,030476 59 85
1118,Kita Sausewind,030 8328997,030832 89 97
1208,Kita Schalkauer Str. 25C/Kigä NordOst,030 98639687,3098639687
656229,Kita Scharnweber Straße 47,030 23922787,3023922787
387229,Kita Scharnweberstraße,030 20053641,3020053641
331129,Kita Schatztruhe,030 355308690,30355308690
2673,Kita Schaukelpferd,030 46998549,3046998549
2523,Kita Schildower Str.20,01573 9490779,15739490779
403179,Kita Schillersternchen,030 47376225,3047376225
1315,Kita Schillerstraße,030 7737114,307737114
2780,Kita Schillerwiese,030 47551607,3047551607
527329,Kita Schillerzwerge,030 47376225,3047376225
113,Kita Schivelbeiner Str. 12/Kigä NordOst,030 4445108,304445108
252,Kita Schlesische Str. 3-4/Kigä City,030 22503232,3022503232
586279,Kita Schleusinger Straße,030 99273930,3099273930
1300,Kita Schlosskobolde,030 84411043,0308441 1043
318,Kita Schloßstr. 45-47/Kitas Nordwest,030 367023670,030367 023 670
489229,Kita Schlumpfenburg,030 91467428,3091467428
1565,Kita Schlüterstr. 25/Kitas Nordwest,030 319988930,30319988930
1513,Kita Schneckenhaus,030 4017553,304017553
2773,KITA Schneckenhaus,030 6454582,306454582
355129,Kita Schneckenhausen,030 92045275,3092045275
977,Kita Schneeflöckchen,030 6859201,306859201
2355,Kita Schönwalder Str. 19a/Kigä City,030 43207212,3043207212
1235,Kita Schützenstr. 133/Kigä NordOst,030 47402950,3047402950
301129,Kita Schützenstraße,030 79789170,3079789170
2830,Kita Schwalbennest,030 91321000,0309132 1000
1331,Kita Schwanheimer Str. 1/7/Kitas Süd-West,030 290278010,30290278010
1029,Kita Schwiebusser Str. 5/Kigä City,030 50586541,3050586541
510229,Kita Seeburger Straße,030 31168989,3031168989
1731,Kita Seeburger Weg 35/Kitas Nordwest,030 36478030,3036478030
1332,Kita Seelbuschring 19/Kitas Süd-West,030 290276160,30290276160
100025,Kita Seepferdchen,030 67821684,3067821684
529279,Kita Seesterne,030 43658839,3043658839
1469,Kita Seestraße,030 4046392,030404 63 92
989,Kita Seestraße,030 4568087,030456 80 87
150179,Kita SEHsternTaler,030 40574343,3040574343
1471,Kita Senftenberger Ring 99,030 4031980,304031980
264,Kita Siegburger Str. 1/Kitas Nordwest,030 897301090,30897301090
1396,Kita Silbersteinstr. 121/Kitas SüdOst,030 609029970,0306090 2997-0
1537,Kita SilberStern,030 4941049,304941049
1991,Kita Singermäuse,030 577988510,30577988510
2623,Kita Sommergarten,030 48628474,3048628474
2713,Kita Sonnenblume,030 36418716,3036418716
2096,Kita Sonnenblume,030 4855909,030485 59 09
1221,Kita Sonnenblume,030 56597037,0305659 7037
597229,Kita Sonnenblume,030 70209480,3070209480
2019,Kita Sonnenblume/Kigä NordOst,030 51489967,3051489967
1173,Kita Sonnenblume/Kigä NordOst,030 94800860,3094800860
2704,Kita Sonnenhof,030 297734932,30297734932
602279,Kita Sonneninsel,030 43205419,3043205419
2862,Kita Sonnenkäfer,030 4710070,030471 00 70
1381,Kita Sonnenkäfer,030 6061912,306061912
464129,Kita Sonnenkäferhaus Reuterstraße,030 62985880,3062985880
60,Kita Sonnenmäuse/Kigä NordOst,030 42161469,3042161469
2301,KITA Sonnenschein,030 23005178,3023005178
1935,Kita Sonnenschein,030 814071630,0308140716-30
2226,Kita Sonnenschein,030 9296074,309296074
629,Kita Sonnenschein,030 9720560,030972 05 60
2413,Kita Sonnenschein 1,030 50587801,3050587801
2797,Kita Sonnenschein II,030 36447001,03036447001/02
2797,Kita Sonnenschein II,030 36447002,03036447001/02
2598,Kita Sonnenstern,030 39880470,3039880470
242129,Kita Sonnenstrahl,030 84119080,03084 11 90 80
223,Kita Sonnenstrahl der Ev.KG Niederschöneweide,030 63908008,63908008
379129,Kita Sonnentropfen,030 24537209,3024537209
595229,Kita Sonnenzwerge,030 24537209,3024537209
336129,Kita Sophienstraße,0170 5510312,0170 5510312
2706,Kita SOS-Kinderdorf,030 33099340,3033099340
708,Kita Spandauer Str. 84/Kitas Nordwest,030 36709220,3036709220
1302,Kita Spastikerhilfe Berlin,030 22500360,03022 500 360
2065,Kita Spatzenburg/Kigä NordOst,030 4742770,304742770
2080,Kita Spatzenhaus,030 4742683,030474 26 83
2213,Kita Spatzenhaus,030 9815480,030981 54 80
2132,Kita Spatzennest/Kigä NordOst,030 5410398,305410398
139,Kita Spiel- und Erlebniswelt,030 29381046,3029381046
2276,Kita Spielhaus,030 9918140,030991 81 40
814,Kita Spielhaus/Nachbarschaftshaus Urbanstr.,030 69049714,690497-14
668229,Kita SpielRaum Havelsegler,030 39405500,3039405500
435129,Kita Spielraum Perlentaucher,030 39881662,3039881662
232129,Kita Spieltraum,0176 53399676,0176 53399676
591329,Kita Spieltraum Weißensee,030 34353390,3034353390
1968,Kita Spitzerstr. 8/Kitas SüdOst,030 6519481,030651 94 81
710,Kita Sponholzstraße,030 81006825,03081 00 68 25
2303,Kita Sprachwelt,030 39480513,0303948 0513
573229,Kita Spreefeld,030 92036752,3092036752
546329,Kita Spreekinder,030 53217552,3053217552
2728,Kita Spreeknirpse,030 6316649,306316649
2772,KITA Springmäuse,030 6364686,306364686
493,Kita Springmäuse,030 9917152,309917152
559,Kita St. Albertus Magnus/Kath. Kirchengem. St. Ludwig,030 89069400,0308906 9400
1294,Kita St. Annen/Kath. Kirchengem. Heilige Familie,030 8342316,308342316
37,Kita St. Elisabeth,030 4496527,449 65 27
1977,Kita St. Josefsstift,030 6527110,306527110
2947,Kita St. Maria Magdalena,030 4856551,304856551
1730,Kita StaakenBär,030 36435141,3036435141
260,Kita Stadtrandstr. 493-499/Kitas Nordwest,030 37586930,3037586930
2875,Kita Stallschreiber Str.13,030 695399990,0306953 99 99-0
1333,Kita Stegerwald,030 75777870,03075 77 78 70
2053,Kita Steinbergzwerge,030 4722188,304722188
1276,Kita Steinstr. 14/Kitas Süd-West,030 290276600,30290276600
638229,Kita Steinstraße 27,030 50368401,3050368401
316129,Kita Sternchen,01575 7205635,15757205635
115179,Kita Sternchen Werk Berlin,030 74106540,3074106540
441,Kita Sterndamm 214/214A/Kitas SüdOst,030 6364092,0306364092/6364095
441,Kita Sterndamm 214/214A/Kitas SüdOst,030 6364095,0306364092/6364095
636229,Kita Sternengarten,030 62730190,3062730190
313,Kita Sternenhimmel,030 4644358,030464 43 58
100019,Kita Sternenschaukel,030 67303543,0306730 3543
137179,KiTa Sternenwiese,030 23132375,3023132375
2676,Kita Sternschnuppe,030 24539541,0302453 9541
397179,Kita Sternschnuppe,030 48479200,3048479200
204129,Kita Sterntaler,030 63379208,3063379208
2357,Kita Stettiner Str. 21-23/Kigä City,030 34620606,3034620606
443129,Kita Storkower Zauberwäldchen,030 34627656,3034627656
100028,Kita Stralauer Allee 6,030 29352949,3029352949
2757,Kita Strauchwiese,030 4767581,030476 75 81
223129,Kita Stresemannstraße,030 2510107,302510107
2070,Kita Streustr. 41/Kigä NordOst,030 9250618,309250618
542,Kita Tabaluga/Kitas Nordwest,030 35499040,3035499040
497,Kita Taffy,030 9909392,309909392
969,Kita Taka-Tuka-Land,030 35507081,03035507-081
2675,Kita Tandem,030 48479663,0304847 9663
1013,Kita Tausend Fühler /Nachbarschaftshs Urbanstr.,030 6946890,306946890
543,Kita Tausendfühler/Kitas Nordwest,030 36479501,3036479501
2160,Kita Tausendfuß/Kigä NordOst,030 5411555,305411555
156,Kita Tausendfüsschen,030 4267875,304267875
2210,Kita Tausendfüßler,030 9711415,309711415
503229,Kita Tegner-Strolche,030 44716872,3044716872
2615,Kita Teltower Damm 191,030 24358667,0302435 8667
1835,Kita Teltower Damm 95/Kitas Süd-West,030 290276610,30290276610
1083,Kita Teltower Rübchen,030 8021201,308021201
2814,Kita Teremok,030 34665312,3034665312
1666,Kita Teresa Tauscher,030 33006802,3033006802
281129,Kita Thaerstraße,030 41726427,3041726427
441179,Kita THOLP,030 83218249,3083218249
1853,Kita Thomas-Haus Berlin,030 8326453,308326453
592,Kita Tietzer Strolche,030 4351072,030435 10 72
106,Kita Tigerenten/Kigä NordOst,030 4481659,304481659
1422,Kita Till Eulenspiegel,030 66991611,0306699 1611
2639,Kita Till Eulenspiegel-Kette,030 20053912,0302005 3912
954,Kita Till Eulenspiegel-Kette,030 6157697,030615 76 97
953,Kita Till Eulenspiegel-Kette,030 75453164,3075453164
129179,Kita Till Eulenspiegel-Kette,030 75453167,3075453167
385129,Kita Tiponi II,030 71301430,030713 014 30
280129,Kita Tiva,030 7520271,030752 02 71
676229,Kita Töpchiner Weg,0176 61850813,17661850813
572229,Kita Torgauer Straße,030 939358700,30939358700
473179,Kita Tornower Weg,030 40899259,3040899259
1472,Kita Tornower Weg 8-10/Kitas Nordwest,030 41745651,3041745651
100072,Kita Torstraße,030 24628214,3024628214
1149,Kita Traumbaum,030 26397930,0302639 7930/263979319
1149,Kita Traumbaum,030 263979319,0302639 7930/263979319
2474,Kita Traumhaus,030 67821684,0306782 1684
2894,Kita Trauminsel,030 25923697,030-25923697
100064,Kita Trauminsel,030 25938954,030-25938954
26,Kita Trauminsel,030 2794009,302794009
2284,Kita Traumzauberhaus/Kigä NordOst,030 9939074,309939074
516279,"Kita Traumzauberland
im IPW Wuhlheide",030 65763996,3065763996
494229,Kita Trautenaustraße,030 33844488,3033844488
2908,Kita Treptower Straße,030 56826314,0305682 6314
546279,Kita Treskowallee,030 75442073,3075442073
466129,Kita Tübinger Straße,030 85073767,03085 07 37 67
586329,Kita Tulpen,030 78896245,3078896245
512229,Kita TWSD,030 97895988,3097895988
1970,Kita Uhlenhorster Str. 27/Kitas SüdOst,030 6571939,030657 19 39
2270,Kita Ulmenstr. 79/Kigä NordOst,030 5675859,305675859
2519,Kita Umka,0176 83176995,17683176995
1735,Kita und Familienzentrum Fantasia,030 37151117,0303715 1117
1218,"Kita Unionhilfswerk 
Sozialeinrichtgen",030 80587208,80587208
363,"Kita Unionhilfswerk 
Sozialeinrichtungen",030 4622076,030462 20 76
1180,"Kita Unionhilfswerk 
Sozialeinrichtungen",030 49997601,0304999 7601
2907,"Kita Unionhilfswerk 
Sozialeinrichtungen",030 60690257,3060690257
1540,"Kita Unionhilfswerk 
Sozialeinrichtungen",030 6149053,030614 90 53
2648,"Kita Unionhilfswerk 
Sozialeinrichtungen",030 81003610,3081003610
1473,"Kita Unionhilfswerk 
Sozialeinrichtungen",030 91208596,3091208596
208129,Kita Unser kreatives Traumzauberland,0176 70119457,0176 70119457
296179,Kita Unter den Eichen,030 60940800,3060940800
511,Kita Unter den Eichen 129a/Kitas Süd-West,030 290276620,30290276620
632229,Kita unterm Regenschirm,0176 23758257,0049176 23758257
2410,Kita Urbanstr. 48k/Kigä City,030 50586560,3050586560
2411,Kita Urbanstr. 62/Kigä City,030 81855920,03081855920/30
2411,Kita Urbanstr. 62/Kigä City,030 81855930,03081855920/30
1167,Kita Ursulinchen,030 6699300,030669930-0
1402,Kita Uthmannstr. 17/Kitas SüdOst,030 680856870,0306808 5687-0
2522,"Kita VAK - Verein zur Förderung 
ausländischer und deutscher Kinder",030 61076668,3061076668
225,Kita Venusstraße 59 / Kitas SüdOst,030 6733037,030673 30 37
2929,"Kita Verein für berufsorientierte
Kinderbetreuung",030 34718839,3034718839
952,Kita Verein für praktische Pädagogik,030 3924465,392 44 65
2431,"Kita Verein zur Förderung eines
freien Erziehungs- und Bildungswesens",030 2165016,030216 50 16
697,Kita Veteranenstr. 10/Kigä City,030 47378193,3047378193
453129,Kita Vielfalter,030 33848511,3033848511
2098,Kita Vielfarb-Kita,030 9416632,309416632
2056,Kita Vielfarb-Kita,030 9250862,0309250862/9251016
2056,Kita Vielfarb-Kita,030 9251016,0309250862/9251016
2729,Kita Vier Jahreszeiten,030 6727446,030672 74 46
1327,Kita Vier Jahreszeiten des NUSZ,030 72019285,3072019285
217129,Kita Villa Amalienhof,030 30369065,3030369065
2513,Kita Villa Anna,030 8524375,852 43 75
974,Kita Villa Anna -Krippe-,030 8591210,859 12 10
1204,Kita Villa Anna-Vorschule-,030 85074874,0308507 4874
1468,Kita Villa Flitzesternchen,030 4047619,304047619
547229,Kita Villa Grips,030 30109894,3030109894
680229,Kita Villa Her(t)zstraße,0172 7639565,0172 7639565
1423,Kita Villa Kunterbunt,030 6234011,623 40 11
349229,Kita Villa Lobo,030 47497989,3047497989
649229,Kita Villa Luna Berlin,030 39480700,3039480700
29,Kita Villa Murkelmeier,030 2792668,302792668
1266,Kita Villa Musica,030 76882799,0307688 2799
597,Kita Villa Schabernack,030 44650224,3044650224
203179,Kita Villa Sprechspatzen,030 84824040,3084824040
2541,KITA Villa Sternenschiff,030 41719054,0304171 9054
273129,Kita Villa Wackelzahn,030 96083803,3096083803
566229,Kita Vitale Großstadtmäuse II,0172 3082200,0172 3082200
1750,Kita Vogelnest,030 33096610,030330 96 610
1881,Kita Vorbergstraße,030 78894310,03078 89 43 10
2136,Kita Waldhäuschen,030 5143978,305143978
1491,Kita Waldkirche/Ev.Kg.Bln-Heiligensee,030 4311302,030431 13 02
1237,Kita Waldmäuse e.V./Waldabschni.Konradshöhe/Reiherberg,030 4312225,030431 22 25
213129,Kita Waldorf-Initiative Weißensee,030 96067972,3096067972
2596,Kita Waldschlösschen,030 39880470,3039880470
1475,Kita Waldshuter Zeile,030 40303280,3040303280
1944,Kita Waldspielhaus,030 6550373,030655 03 73
598229,Kita Waldwurzelzwerge,0176 255500,176255500
2152,Kita Walter-Felsenstein-Str. 39/41/Kigä NordOst,030 9321022,309321022
2122,Kita Walter-Friedrich-Str. 20-22/Kigä NordOst,030 9490124,309490124
593,Kita Warnitzer Str. 9,030 9290274,309290274
2913,Kita Warthestraße,030 6289380,306289380
504279,Kita Warumka,030 53673964,3053673964
161279,Kita Waschbär,030 68810514,3068810514
1980,Kita Wattstr. 14/Kitas SüdOst,030 5350990,030535 09 90
314,Kita Wattstraße,030 4644359,030464 43 59
1279,Kita Wedellstr. 59/Kitas Süd-West,030 290276630,30290276630
765,Kita Weichselstraße,030 6243502,306243502
169,Kita Weidenkätzchen,030 4222428,304222428
1134,Kita Weiße Taube 1,030 98196590,3098196590
2987,Kita Weiße Wolke,030 81799940,3081799940
637,Kita Weißenfelserstraße,030 9911052,309911052
550329,Kita Weltkinder,030 49988084,3049988084
1538,Kita Weserstraße,030 6235076,306235076
451279,Kita Westfälische Straße,030 860081030,030860 08 10 30
32,Kita Weydemeyerstr. 20/21,030 2419151,302419151
100035,Kita WHITE COCKATOO - Internationaler Kindergarten,030 44701001,0304470 1001
1736,Kita Wichernstr. 57/Kitas Nordwest,030 337759490,30337759490
170,Kita Wichtelbühne,030 41724851,3041724851
672229,Kita Wichtelgarten,030 80571789,3080571789
462,Kita Wichtelhaus/Kigä NordOst,030 4784981,304784981
2591,Kita Wielandstraße,030 8594580,030859 45 80
390279,Kita Wiesenhüpper,030 99271361,3099271361
776,Kita Wiesenstr.,030 46060490,0304606 0490
603,Kita Wiesenweg 20/Kitas Nordwest,030 36478010,3036478010
1236,Kita Wiesenwichtel,030 91745766,3091745766
623229,Kita Wiki,030 49857602,3049857602
1549,Kita Wilde 13,030 7822443,030782 24 43
1405,Kita Wildenbruchstr. 25/Kitas SüdOst,030 680856880,0306808 5688-0
518,Kita Wildensteiner Str. 3/Kigä NordOst,030 5098418,305098418
617,Kita Wildhüterweg 8/Kitas SüdOst,030 66709956,3066709956
390229,"Kita Wilhelmine
Bundesministerium für Ernährung,
Landwirtschaft, Verbraucherschutz",030 22488097,3022488097
351129,Kita Wilhelminenhofstraße,030 23366328,3023366328
1774,Kita Wilhelmsaue 122/123/Kitas Nordwest,030 863909690,030863 909 690
934,Kita Wilhelmstr. 14a/Kigä City,030 50586581,3050586581
1837,Kita Wilskistr.,030 290276640,30290276640
261129,Kita Windlicht,030 93498520,3093498520
514279,Kita Windspiel,030 29770641,3029770641
1477,Kita Wirbelwind,030 40395972,3040395972
2754,Kita Wirbelwind,030 4244036,304244036
2755,Kita Wirbelwind,030 4711479,030471 14 79
2726,Kita Wirbelwind,030 5677419,305677419
2768,Kita Wirbelwind,030 6718821,030671 88 21
456129,KITA Wirbelzwirbel,030 45797887,3045797887
2775,Kita Wirsi-Kids,030 3064509931,303064509931
1075,Kita Wissmannstraße 33 / Kitas SüdOst,030 627287890,0306272 8789-0
2677,Kita Wolfshagener Straße,030 47497699,4749 7699
2196,Kita Wolkenreise,030 9295078,030929 50 78
271129,Kita Wolkenschaf,030 96086010,3096086010
101129,Kita Wolkenzwerge,030 25898744,3025898744
291129,Kita Wortschmiede,030 221943939,0302219 43939
2141,Kita Wuhlespatzen/Kigä NordOst,030 5417075,305417075
463179,Kita Wuhlmäuse,0176 83232471,17683232471
778,Kita Wunderblume,030 36403956,3036403956
504229,Kita Wunderland,030 51307508,3051307508
364129,Kita Wundtstraße,030 364345910,30364345910
1159,Kita Württembergallee 17/Kitas Nordwest,030 303286980,30303286980
796,Kita Wutzkyallee 90/Kitas SüdOst,030 6617060,030661 70 60
555279,Kita Zahnlücke,0176 24194658,0176 24194658
328179,Kita Zauberblümchen,030 54462892,03054462892/4
328179,Kita Zauberblümchen,030 54462894,03054462892/4
551229,Kita Zauberinsel,0176 56815406,0176 56815406
2879,Kita Zaubermäuse,030 7931462,030793 14 62
544329,Kita Zauberschlüssel,030 92372937,3092372937
1234,Kita Zauberstein,030 47487765,0304748 7765
100026,Kita Zaubersterne,030 76882322,03076 88 23 22
1836,Kita Zentrum am Kleeblatt (ZaK),030 80402003,0308040 2003
554229,Kita Zicke-Zacke,01520 3134367,15203134367
484129,Kita Zicke-Zacke,030 38304488,3038304488
2086,Kita Zipfelmütze,030 4855271,304855271
563279,Kita Zitterbacke,0172 9503085,0172 9503085
108,Kita Zum klingenden Bäumchen,030 4454600,304454600
442,Kita Zur Teutonenburg,030 6729560,306729560
2741,Kita Zwergenbaude,030 68913118,3068913118
102129,Kita Zwergenbaude II,030 68913118,3068913118
525229,Kita Zwergenburg,030 70762824,3070762824
581229,Kita Zwergenhain,030 91441733,3091441733
367,Kita Zwergenhausen/Kigä NordOst,030 4427480,304427480
1995,Kita Zwergenland,030 5099548,509 95 48
298129,Kita Zwergenland,030 74305812,3074305812
2154,Kita Zwergenoase/Kigä NordOst,030 9321140,309321140
293,Kita Zwergenschloß,030 4042718,304042718
107129,Kita Zwergenschule,030 77909434,3077909434
402129,Kita Zwergplaneten,030 62725482,3062725482
2018,Kita- und Familienzentrum Gensinger Str.,030 51009548,0305100 9548
473279,Kita-kinderbunt,030 68328297,3068328297
1347,Kita-Verein Lichtenrade Ost - Groß-Ziethener-Str. 82,030 7462329,746 23 29
925,Kita/Ev. Kirchengem. Tabor,030 6123129,030612 31 29
1745,Kita/Johanna-von-Siemens,030 38306278,3038306278
2347,Kita/Jugend- u. Sozialwerk gGmbH,030 4935018,030493 50 18
2299,Kita/Kinder in Bewegung (KiB),030 36409507,0303640 9507
1014,Kita/Kinder in Bewegung (KiB),030 36478000,030364 78 000
1467,Kita/Kinder in Bewegung (KiB),030 4029440,030402 94 40
278,Kita/Kinder in Bewegung (KiB),030 41706145,3041706145
2359,Kita/Kinder in Bewegung (KiB),030 4519076,030451 90 76
2360,Kita/Kinder in Bewegung (KIB),030 467764920,030467 76 4920
1021,Kita/Kinder in Bewegung (KiB),030 4911515,030491 15 15
690,Kita/Kinder in Bewegung (KiB),030 6042060,030604 20 60
1143,Kita/Kinder in Bewegung (KIB) gGmbH,030 46060810,0304606 0810
982,Kita/WeG gGmbH,030 6249407,030624 94 07
591279,Kitabär,0173 7238868,0173 7238868
2821,Kitaladen Jugendwerk Aufbau Ost,030 549799300,30549799300
625229,Kitaquarium,0178 5247672,0178 5247672
351,Kitaverbund Regenbogen,030 9864709,0309864709/9864490
351,Kitaverbund Regenbogen,030 9864490,0309864709/9864490
2594,Klax Kindergarten Igelnest,030 45976303,0304597 6303
473229,Klax Kindergarten Karlsson vom Dach,030 639623690,30639623690
2288,Klax Kindergarten Pusteblume,030 4720098,472 00 98
2563,Klax Kindergarten Tausendfüßler,030 66654712,0306665 4712
244129,Klax Kindergarten Wellenkids,030 755459345,0307554593-45 und -12
244129,Klax Kindergarten Wellenkids,030 755459312,0307554593-45 und -12
2700,Klax Kita Raupenhaus und Klax Kindergarten Schmetterlingshaus,030 47000068,0304700 0068/
2203,Klax Krippe Grashüpfer und Klax Kindergarten Glühwürmchen,030 92092533,3092092533
249,Klax Krippe Kieselstein und Klax Kindergarten Zauberstein,030 740019415,0307400 19415
2457,Klax Krippe Mäusekiste und Klax Kindergarten Salamander,030 56589001,030565890-01 u. -02
2457,Klax Krippe Mäusekiste und Klax Kindergarten Salamander,030 56589002,030565890-01 u. -02
2696,"Klax Krippe Sonnenhaus,Klax Kindergarten Wolkenhaus und Klax Vorschule Regenbogenhaus",030 34745177,3034745177
2957,Klax Krippe Spatzennest und Klax Kindergarten Tinkerbell,030 2803612780,030280 36127-80 u. -90
2957,Klax Krippe Spatzennest und Klax Kindergarten Tinkerbell,030 2803612790,030280 36127-80 u. -90
103,"Klax Krippen Regentropfenhaus und Wolkenzwerge;Klax Kindergärten Sternschnuppenhaus, Sonnenhaus und Wirbelwind",030 44793362,0304479 3362
186129,Kleine Abenteurer,030 47497333,3047497333
2378,Kleine Himmelswolke,030 4519130,451 91 30
2895,Kleine Kita Mittendrin,030 609774925,030609 77 49 25
1502,Kleine Nordlichter,030 4047023,404 70 23
366179,Kleine RokoKids Kita,030 30345947,3030345947
254129,Kleiner Fratz,030 23888224,3023888224
432129,Kleiner Fratz,030 30343543,03030 34 35 43
473129,Kleiner Fratz,030 35131915,03035 13 19 15
206129,Kleiner Fratz,030 83217283,3083217283
618,Kneipp-Kita Pfeffermäuse,030 6517305,030651 73 05
100034,Kookaburra Kinderbetreuung,030 25019275,0302501 9275
288129,"Kreativitätskindergarten MiniMax
Hartriegelstraße",030 225027730,30225027730
2671,"Kreativitätskindergarten MiniMax
Sadowastraße",030 32895712,0303289 5712
2275,Kreativitätskindertagesstätte,030 5613137,305613137
