Senats-id,lblKitaname,Telefon,lblTelefon
562,Kinderladen Mainzelmännchen,030 8536862,308536862
563,EKT Prinz Güntzel,030 8531408,308531408
564,EKT Kinderland,030 8623396,308623396
565,Kita der Ev. Kirchengem. Schönow-Buschgraben,030 8153755,030815 37 55
566,Kita der Ev. Kirchengem. Dahlem,030 84170520,0308417 0520
568,EKT Wannsee - Kinderhaus Murmelente,030 8055190,805 51 90
569,EKT - Montessori-Gemeinschaftshaus,030 8327999,030832 79 99
570,EKT Schlachtensee,030 8039444,308039444
571,Ev. Kindertagesstätte Alt-Schöneberg,030 7846764,307846764
572,Kita der Kath. Kirchengem. St. Matthias,030 2151212,0302151212 o. 21913821
572,Kita der Kath. Kirchengem. St. Matthias,030 21913821,0302151212 o. 21913821
573,EKT L' Angolino,030 2141751,302141751
576,EKT - Milchzahn,030 8592320,030859 23 20
577,EKT Harrys Kid's Club,030 8550741,308550741
578,EKT - Kraut und Rüben,030 55281195,3055281195
579,Kita der Ev. Kirchengem. Markus,030 79783420,0307978 3420
580,EKT Langzeit,030 8333844,308333844
581,Kita Dreikäse-Hoch (Wohneinheit links),030 76769834,0307676 9834
582,Kita Robinson Crusoe,030 7031044,030703 10 44
583,EKT - Kinderladeninitiative Tempelhof,030 7055256,705 52 56
584,EKT Marienfelde,030 7112391,307112391
585,Kinder- und Schülerladen Purzelbaum Britz,030 6064087,606 40 87
586,EKT Hasenreiter,030 6211032,306211032
587,EKT -  Kleinkindpädagogik,030 6855879,306855879
589,Kita Krokofant,030 5126659,305126659
590,Kita der Kath. Kirchengem. Maria Gnaden,030 4046714,0304046714 o. 40509081
590,Kita der Kath. Kirchengem. Maria Gnaden,030 40509081,0304046714 o. 40509081
591,EKT Heinzegraben,030 4167421,304167421
592,Kita Tietzer Strolche,030 4351072,030435 10 72
593,Kita Warnitzer Str. 9,030 9290274,309290274
594,BOOT-Kita Am Kirschbaum,030 9986002,309986002
595,Kita Ramlerstr. 9-10/Kigä City,030 43207225,3043207225
596,Kita Märchenland,030 49988690,0304998 8690
597,Kita Villa Schabernack,030 44650224,3044650224
598,Kita Kolleknirpse/Kigä NordOst,030 4421791,304421791
599,Kita Prenzlauer Allee 115/116/Kigä NordOst,030 4247058,304247058
600,Kita Leuschnerdamm 33-39/Kigä City,030 50586290,3050586290
602,Kita Jungfernheideweg 77a/Kitas Nordwest,030 34349310,3034349310
603,Kita Wiesenweg 20/Kitas Nordwest,030 36478010,3036478010
604,Kita Bülowstraße,030 23630630,030236 30 630
610,Kita Feuerwache,030 70079852,3070079852
611,BOOT-Kita Fritz-Werner,030 93952557,3093952557
612,BOOT-Kita Traumburg,030 84850460,030 84850460
613,Kita Mariendorfer Damm 123/Kitas Süd-West,030 290276100,30290276100
614,Kita Mini-Mix-International,030 62983041,3062983041
615,Kita Neudecker Weg 84/Kitas SüdOst,030 6632090,030663 20 90
616,Kita Reuterstr. 72/Kitas SüdOst,030 609029940,03060902994-0
617,Kita Wildhüterweg 8/Kitas SüdOst,030 66709956,3066709956
618,Kneipp-Kita Pfeffermäuse,030 6517305,030651 73 05
620,Kita Baikalstr. 2,030 5123080,030512 30 80
621,Kita Paule Platsch,030 9729005,309729005
622,Kita Bärenkinder,030 5122195,030512 21 95
624,Kita Harnackstr. 7/9,030 5598287,305598287
625,Kita Farbklecks,030 57797260,030577 97 260
626,Kita Purzelbaum,030 5253546,030525 35 46
627,"""Spatzennest""",030 9724008,309724008
628,Kita Lichtenzwerge,030 51657262,0305165 7262
629,Kita Sonnenschein,030 9720560,030972 05 60
630,Kita Abenteuer Welt,030 55489315,030554 89 315
632,Integrationskita Schneckenhaus/Kigä NordOst,030 4728055,304728055
633,Kita Petitweg,030 48626511,3048626511
635,Kita Malchower Weg  46/Kigä NordOst,030 9864830,309864830
636,BOOT-Kita Spatzenhaus,030 5615159,305615159
637,Kita Weißenfelserstraße,030 9911052,309911052
639,Kita Landrestr. 9/Kigä NordOst,030 5627129,305627129
640,"""Naseweis""",030 9941273,309941273
642,Ev. Kita Kornelius,030 4521178,452 11 78
643,Kita Akila,030 4617000,304617000
644,Kita der Kath. Kirchengem. Corpus Christi,030 4254284,304254284
645,Kita Dreikäsehoch,030 4246174,304246174
646,Waldorfkindergarten Prenzlauer Berg,030 4453393,030445 33 93
649,EKT Springteufel,030 6938943,030693 89 43/6949167
649,EKT Springteufel,030 6949167,030693 89 43/6949167
650,EKT - Kinderladen Luftabong,030 7868430,786 84 30
653,Kita der Kath. Kirchengem. St. Canisius,030 3216474,303216474
654,EKT - Mappagei,030 3254565,325 45 65
655,EKT - Eichkatzweg,030 3018968,303018968
656,EKT - Flitzpiepen,030 3239163,323 91 63
657,EKT - Kindergarten am Schloß Charlottenburg,030 3427060,303427060
660,Kita Ackerstrasse,030 3333069,030333 30 69
661,Kita Hochmeister,030 8928683,308928683
662,EKT - Kiga für musische und sprachliche Erziehung,030 8737670,308737670
663,Kita Beerenkinder,030 89569229,3089569229
664,EKT Land in Sicht,030 85072367,3085072367
665,Kath.Kindertagesstätte St. Josefshaus,030 8116837,308116837
666,Kita Kaiserstuhl,030 80323867,030803 238 67
667,Kita der Ev. Kirchengem. Silas,030 7814457,781 44 57
668,Kita der Kath. Kirchengem. St. Elisabeth,030 7811359,307811359
669,EKT - Verein zur Förderung vorschulischer Erziehung,030 7881317,030788 13 17
672,Kita der Evangelische Paulus-Kirchengemeinde,030 8345954,030834 59 54
674,EKT - Kulleberga,030 8555040,030855 50 40
675,EKT Stadtpark Steglitz,030 7953891,307953891
676,EKT - Märchenwald/Ver.z.Errichtg u.Betreibg v.EKTs e.V.,030 75709465,03075709465/75008230
676,EKT - Märchenwald/Ver.z.Errichtg u.Betreibg v.EKTs e.V.,030 75008230,03075709465/75008230
677,EKT Lima,030 6237701,306237701
679,Kita der Ev. St.-Laurentius-Kirchengem. Köpenick,030 6554449,030655 44 49
680,Waldorf-Kindergarten Karlshorst,030 5090271,030509 02 71
681,Kita der Ev. Kirchengem. Hoffnung,030 4720319,472 03 19
682,Kita der Ev. Kirchengem. Lübars,030 4026615,402 66 15
683,Kita der Ev. Kirchengem. Alt-Reinickendorf,030 4951860,030495 18 60
684,Kita der Ev. Felsen-Kirchengem.,030 4022045,402 20 45
686,EKT - Rummel-Bummel,030 4919071,030491 90 71
687,Kita Mäusekiste,030 4153438,304153438
688,Kita der Ev. Kirchengem. Biesdorf,030 5143916,514 39 16
689,Kita An den Achterhöfen 1/Kitas SüdOst,030 7430140,030743 01 40
690,Kita/Kinder in Bewegung (KiB),030 6042060,030604 20 60
691,Kita Bornsdorfer Str. 37b/Kitas SüdOst,030 56825694,56825694
693,Tabaluga Bewegungskindergarten,030 66529980,030665 29 980
694,Kita Riesestr. 2-4/Kitas SüdOst,030 609029950,0306090 2995-0
695,Ev. Kita/Kirchenkreis Neukölln,030 6233623,030623 36 23
696,EKT - Cocorico et Co,030 25799626,3025799626
697,Kita Veteranenstr. 10/Kigä City,030 47378193,3047378193
698,Kita des Deutschen Bundestages,030 22733395,030227-33395
699,Kita Osloer Str. 105D/Kigä City,030 49308814,3049308814
700,Kita Der Kinder-Garten in der Schwedenstraße,030 48478836,3048478836
701,Kita Erich-Weinert-Str. 33/Kigä NordOst,030 4454055,304454055
705,"Kita Richard-Sorge-Str. 43 und 44
Haus Buddelflink und Gänseblümchen",030 42089332,03042089332/4261417
705,"Kita Richard-Sorge-Str. 43 und 44
Haus Buddelflink und Gänseblümchen",030 4261417,03042089332/4261417
708,Kita Spandauer Str. 84/Kitas Nordwest,030 36709220,3036709220
709,Kita Kneipp-Verein,030 3636340,030363 63 40
